Дата,ID_пробы,Точка_отбора,A_Fe_сигнал,pH_измерено,Температура_C,Электропроводность_мкСм_см
2026-01-29,S-0073,Точка-2 (резервуар),0.2219,7.02,9.0,774.0
2026-01-29,S-0074,Точка-2 (резервуар),0.1439,6.86,13.5,208.0
2026-01-29,S-0075,Точка-1 (скважина),0.0645,6.6,18.0,648.0
2026-01-29,S-0076,Точка-1 (скважина),0.0303,6.99,8.6,796.0
2026-01-30,S-0077,Точка-3 (сброс),0.1175,7.77,15.1,720.0
2026-01-30,S-0078,Точка-1 (скважина),0.1682,6.74,13.6,591.0
2026-01-30,S-0079,Точка-2 (резервуар),0.1568,6.43,11.8,830.0
2026-01-30,S-0080,Точка-3 (сброс),0.1341,6.8,8.9,759.0
2026-02-02,S-0081,Точка-2 (резервуар),0.2565,5.98,11.9,806.0
2026-02-02,S-0082,Точка-2 (резервуар),0.1063,6.74,11.9,612.0
2026-02-02,S-0083,Точка-2 (резервуар),0.1752,7.31,9.4,763.0
2026-02-02,S-0084,Точка-1 (скважина),0.0964,6.55,13.2,491.0
2026-02-03,S-0085,Точка-2 (резервуар),0.2091,6.61,10.5,543.0
2026-02-03,S-0086,Точка-1 (скважина),0.0171,7.28,9.0,772.0
2026-02-03,S-0087,Точка-1 (скважина),0.1666,7.0,4.8,653.0
2026-02-03,S-0088,Точка-1 (скважина),0.1497,6.17,13.4,600.0
2026-02-04,S-0089,Точка-2 (резервуар),0.1416,7.26,8.8,680.0
2026-02-04,S-0090,Точка-3 (сброс),0.0987,6.22,6.4,355.0
2026-02-04,S-0091,Точка-2 (резервуар),0.1079,6.58,5.1,711.0
2026-02-04,S-0092,Точка-2 (резервуар),0.0809,6.77,12.7,882.0
2026-02-05,S-0093,Точка-1 (скважина),0.039,7.58,14.7,686.0
2026-02-05,S-0094,Точка-3 (сброс),0.2354,6.51,12.2,461.0
2026-02-05,S-0095,Точка-2 (резервуар),0.137,7.02,7.4,635.0
2026-02-05,S-0096,Точка-2 (резервуар),0.1352,7.39,10.8,676.0
2026-02-06,S-0097,Точка-1 (скважина),0.1027,8.35,13.2,548.0
2026-02-06,S-0098,Точка-2 (резервуар),0.0741,7.36,15.8,543.0
2026-02-06,S-0099,Точка-1 (скважина),0.2117,8.07,14.3,754.0
2026-02-06,S-0100,Точка-3 (сброс),0.2762,7.61,11.8,857.0
2026-02-09,S-0101,Точка-1 (скважина),0.1641,6.86,12.3,564.0
2026-02-09,S-0102,Точка-1 (скважина),0.1477,7.69,16.6,698.0
2026-02-09,S-0103,Точка-3 (сброс),0.2729,7.56,13.0,821.0
2026-02-09,S-0104,Точка-1 (скважина),0.1225,6.67,13.8,704.0
2026-02-10,S-0105,Точка-2 (резервуар),0.1059,5.64,12.8,441.0
2026-02-10,S-0106,Точка-2 (резервуар),0.1472,7.98,10.4,915.0
2026-02-10,S-0107,Точка-3 (сброс),0.2827,8.11,8.5,620.0
2026-02-10,S-0108,Точка-1 (скважина),0.179,7.29,11.2,766.0
2026-02-11,S-0109,Точка-1 (скважина),0.1176,7.6,12.4,772.0
2026-02-11,S-0110,Точка-1 (скважина),0.2004,7.99,10.5,637.0
2026-02-11,S-0111,Точка-3 (сброс),0.2025,6.99,13.3,468.0
2026-02-11,S-0112,Точка-1 (скважина),0.1836,7.77,12.4,791.0
2026-02-12,S-0113,Точка-1 (скважина),0.2194,7.14,5.4,643.0
2026-02-12,S-0114,Точка-3 (сброс),0.2216,7.92,9.2,679.0
2026-02-12,S-0115,Точка-2 (резервуар),0.1082,6.94,9.0,620.0
2026-02-12,S-0116,Точка-2 (резервуар),0.2591,6.62,18.0,706.0
2026-02-13,S-0117,Точка-1 (скважина),0.2704,7.9,3.7,701.0
2026-02-13,S-0118,Точка-3 (сброс),0.13,6.23,11.7,485.0
2026-02-13,S-0119,Точка-3 (сброс),0.0992,7.74,5.6,626.0
2026-02-13,S-0120,Точка-2 (резервуар),0.2474,7.55,16.0,542.0
2026-02-16,S-0121,Точка-1 (скважина),0.0912,6.82,12.7,402.0
2026-02-16,S-0122,Точка-2 (резервуар),0.1428,6.93,10.6,734.0
2026-02-16,S-0123,Точка-1 (скважина),0.2456,7.29,9.8,735.0
2026-02-16,S-0124,Точка-2 (резервуар),0.2062,7.91,9.1,511.0
2026-02-17,S-0125,Точка-2 (резервуар),0.2673,6.69,14.3,867.0
2026-02-17,S-0126,Точка-2 (резервуар),0.1131,6.93,3.8,667.0
2026-02-17,S-0127,Точка-1 (скважина),0.2153,6.57,10.3,257.0
2026-02-17,S-0128,Точка-2 (резервуар),0.1212,6.79,15.7,789.0
2026-02-18,S-0129,Точка-1 (скважина),0.1439,7.11,12.6,379.0
2026-02-18,S-0130,Точка-2 (резервуар),0.1701,6.86,13.2,986.0
2026-02-18,S-0131,Точка-1 (скважина),0.1684,7.23,17.2,506.0
2026-02-18,S-0132,Точка-2 (резервуар),0.1864,8.01,10.4,564.0
2026-02-19,S-0133,Точка-2 (резервуар),0.2599,7.52,9.5,719.0
2026-02-19,S-0134,Точка-1 (скважина),0.1906,7.17,7.8,443.0
2026-02-19,S-0135,Точка-3 (сброс),0.2411,6.71,6.2,674.0
2026-02-19,S-0136,Точка-1 (скважина),0.1023,7.71,11.7,514.0
2026-02-20,S-0137,Точка-1 (скважина),0.0903,6.68,10.5,748.0
2026-02-20,S-0138,Точка-1 (скважина),0.1257,7.45,11.6,813.0
2026-02-20,S-0139,Точка-1 (скважина),0.1547,7.26,4.8,620.0
2026-02-20,S-0140,Точка-2 (резервуар),0.1475,7.44,12.5,658.0
2026-02-23,S-0141,Точка-1 (скважина),0.1907,7.48,9.0,860.0
2026-02-23,S-0142,Точка-3 (сброс),0.2631,7.13,10.7,465.0
2026-02-23,S-0143,Точка-1 (скважина),0.0268,7.2,3.8,611.0
2026-02-23,S-0144,Точка-1 (скважина),0.1631,7.26,11.7,618.0
2026-02-24,S-0145,Точка-1 (скважина),0.1094,7.78,14.7,406.0
2026-02-24,S-0146,Точка-3 (сброс),0.2178,6.79,11.5,899.0
2026-02-24,S-0147,Точка-2 (резервуар),0.307,8.2,13.6,624.0
2026-02-24,S-0148,Точка-3 (сброс),0.1529,7.17,3.8,705.0
2026-02-25,S-0149,Точка-3 (сброс),0.2991,7.73,13.0,709.0
2026-02-25,S-0150,Точка-2 (резервуар),0.1318,6.56,3.3,747.0
2026-02-25,S-0151,Точка-3 (сброс),0.4058,7.1,10.2,618.0
2026-02-25,S-0152,Точка-1 (скважина),0.1103,7.02,9.5,872.0
2026-02-26,S-0153,Точка-1 (скважина),0.2196,7.89,14.5,703.0
2026-02-26,S-0154,Точка-2 (резервуар),0.2003,6.79,4.5,729.0
2026-02-26,S-0155,Точка-1 (скважина),0.1978,6.36,7.0,733.0
2026-02-26,S-0156,Точка-2 (резервуар),0.2968,6.9,8.6,628.0
2026-02-27,S-0157,Точка-3 (сброс),0.161,7.26,15.1,741.0
2026-02-27,S-0158,Точка-2 (резервуар),0.063,7.64,10.0,641.0
2026-02-27,S-0159,Точка-2 (резервуар),0.1553,7.4,8.2,353.0
2026-02-27,S-0160,Точка-3 (сброс),0.3406,6.84,7.6,655.0
2026-03-02,S-0161,Точка-2 (резервуар),0.227,7.37,16.0,447.0
2026-03-02,S-0162,Точка-1 (скважина),0.1881,7.22,16.5,812.0
2026-03-02,S-0163,Точка-2 (резервуар),0.2499,6.87,16.8,646.0
2026-03-02,S-0164,Точка-1 (скважина),0.1839,6.9,9.0,813.0
2026-03-03,S-0165,Точка-1 (скважина),0.2748,6.69,15.1,736.0
2026-03-03,S-0166,Точка-3 (сброс),0.2658,7.83,16.0,677.0
2026-03-03,S-0167,Точка-1 (скважина),0.2151,6.95,12.9,722.0
2026-03-03,S-0168,Точка-3 (сброс),0.199,6.53,12.9,697.0
2026-03-04,S-0169,Точка-2 (резервуар),0.1466,7.29,10.1,569.0
2026-03-04,S-0170,Точка-3 (сброс),0.3477,6.99,13.9,1026.0
2026-03-04,S-0171,Точка-1 (скважина),0.1506,6.32,16.9,540.0
2026-03-04,S-0172,Точка-1 (скважина),0.1488,8.13,8.8,656.0
2026-03-05,S-0173,Точка-1 (скважина),0.0961,6.79,8.1,683.0
2026-03-05,S-0174,Точка-3 (сброс),0.3491,8.05,8.8,519.0
2026-03-05,S-0175,Точка-2 (резервуар),0.1008,7.79,12.0,552.0
2026-03-05,S-0176,Точка-2 (резервуар),0.0582,7.68,7.2,415.0
2026-03-06,S-0177,Точка-3 (сброс),0.2069,8.19,13.9,771.0
2026-03-06,S-0178,Точка-2 (резервуар),0.2964,7.07,21.0,752.0
2026-03-06,S-0179,Точка-1 (скважина),0.0329,7.04,10.0,809.0
2026-03-06,S-0180,Точка-1 (скважина),0.1054,7.23,5.5,508.0
2026-03-09,S-0181,Точка-1 (скважина),0.0096,7.57,5.7,696.0
2026-03-09,S-0182,Точка-1 (скважина),0.0918,6.54,11.7,574.0
2026-03-09,S-0183,Точка-2 (резервуар),0.0525,7.64,13.3,577.0
2026-03-09,S-0184,Точка-3 (сброс),0.1977,5.86,16.6,623.0
2026-03-10,S-0185,Точка-2 (резервуар),0.1825,7.21,8.2,666.0
2026-03-10,S-0186,Точка-1 (скважина),0.206,6.66,6.9,356.0
2026-03-10,S-0187,Точка-1 (скважина),0.0916,7.74,10.9,906.0
2026-03-10,S-0188,Точка-3 (сброс),0.0646,7.69,16.9,921.0
2026-03-11,S-0189,Точка-1 (скважина),0.1407,6.96,16.4,617.0
2026-03-11,S-0190,Точка-2 (резервуар),0.2517,5.41,18.9,659.0
2026-03-11,S-0191,Точка-1 (скважина),0.0846,7.51,20.1,700.0
2026-03-11,S-0192,Точка-3 (сброс),0.2372,6.6,18.9,764.0
2026-03-12,S-0193,Точка-3 (сброс),0.2077,6.68,19.9,585.0
2026-03-12,S-0194,Точка-1 (скважина),0.1337,7.38,12.6,580.0
2026-03-12,S-0195,Точка-3 (сброс),0.2716,7.43,16.1,790.0
2026-03-12,S-0196,Точка-1 (скважина),0.0438,7.46,20.6,844.0
2026-03-13,S-0197,Точка-2 (резервуар),0.1522,6.91,19.1,789.0
2026-03-13,S-0198,Точка-2 (резервуар),0.2666,6.76,15.4,674.0
2026-03-13,S-0199,Точка-3 (сброс),0.2097,7.38,13.9,609.0
2026-03-13,S-0200,Точка-2 (резервуар),0.0767,6.35,13.3,372.0
2026-03-16,S-0201,Точка-2 (резервуар),0.2255,6.86,17.1,545.0
2026-03-16,S-0202,Точка-2 (резервуар),0.3371,6.54,19.2,412.0
2026-03-16,S-0203,Точка-2 (резервуар),0.2475,8.51,22.9,795.0
2026-03-16,S-0204,Точка-2 (резервуар),0.328,6.31,19.0,456.0
2026-03-17,S-0205,Точка-3 (сброс),0.2671,7.38,10.5,653.0
2026-03-17,S-0206,Точка-2 (резервуар),0.1,7.14,12.9,654.0
2026-03-17,S-0207,Точка-2 (резервуар),0.2557,6.66,17.6,638.0
2026-03-17,S-0208,Точка-1 (скважина),0.0724,7.89,20.3,533.0
2026-03-18,S-0209,Точка-1 (скважина),0.2638,7.25,15.5,497.0
2026-03-18,S-0210,Точка-2 (резервуар),0.2118,7.1,17.7,676.0
2026-03-18,S-0211,Точка-3 (сброс),0.1752,6.96,19.7,737.0
2026-03-18,S-0212,Точка-2 (резервуар),0.2279,6.56,22.0,810.0
2026-03-19,S-0213,Точка-1 (скважина),0.148,6.97,18.2,689.0
2026-03-19,S-0214,Точка-1 (скважина),0.0924,6.94,14.2,948.0
2026-03-19,S-0215,Точка-1 (скважина),0.0088,6.36,22.7,598.0
2026-03-19,S-0216,Точка-1 (скважина),0.1785,8.17,16.6,739.0
2026-03-20,S-0217,Точка-2 (резервуар),0.1201,7.81,17.5,590.0
2026-03-20,S-0218,Точка-1 (скважина),0.0149,6.27,14.4,659.0
2026-03-20,S-0219,Точка-1 (скважина),0.1746,7.34,14.9,681.0
2026-03-20,S-0220,Точка-3 (сброс),0.2895,7.84,17.4,728.0
2026-03-23,S-0221,Точка-2 (резервуар),0.1885,6.8,10.4,585.0
2026-03-23,S-0222,Точка-2 (резервуар),0.0919,6.47,9.8,886.0
2026-03-23,S-0223,Точка-3 (сброс),0.0678,7.43,22.8,455.0
2026-03-23,S-0224,Точка-3 (сброс),0.2048,6.57,18.8,672.0
2026-03-24,S-0225,Точка-1 (скважина),0.1507,7.16,18.5,767.0
2026-03-24,S-0226,Точка-1 (скважина),0.1561,7.8,15.0,634.0
2026-03-24,S-0227,Точка-2 (резервуар),0.2065,7.34,13.0,588.0
2026-03-24,S-0228,Точка-2 (резервуар),0.107,6.23,21.6,579.0
2026-03-25,S-0229,Точка-2 (резервуар),0.1902,6.38,20.9,787.0
2026-03-25,S-0230,Точка-2 (резервуар),0.2195,7.02,12.2,464.0
2026-03-25,S-0231,Точка-2 (резервуар),0.2051,7.61,20.4,949.0
2026-03-25,S-0232,Точка-1 (скважина),0.1185,6.38,14.9,654.0
2026-03-26,S-0233,Точка-3 (сброс),0.1526,6.82,13.8,731.0
2026-03-26,S-0234,Точка-1 (скважина),0.1215,6.31,11.2,856.0
2026-03-26,S-0235,Точка-2 (резервуар),0.1002,7.3,19.7,616.0
2026-03-26,S-0236,Точка-1 (скважина),0.054,6.81,15.1,601.0
2026-03-27,S-0237,Точка-1 (скважина),0.1129,6.92,12.4,436.0
2026-03-27,S-0238,Точка-1 (скважина),0.1035,6.07,19.1,759.0
2026-03-27,S-0239,Точка-2 (резервуар),0.174,7.41,11.5,852.0
2026-03-27,S-0240,Точка-1 (скважина),0.1055,6.55,13.9,762.0
2026-03-30,S-0241,Точка-2 (резервуар),0.1804,8.0,11.8,862.0
2026-03-30,S-0242,Точка-2 (резервуар),0.0221,6.51,26.3,685.0
2026-03-30,S-0243,Точка-1 (скважина),0.0827,8.72,9.3,522.0
2026-03-30,S-0244,Точка-3 (сброс),0.2333,7.33,16.2,972.0
2026-03-31,S-0245,Точка-3 (сброс),0.1436,6.44,11.5,652.0
2026-03-31,S-0246,Точка-2 (резервуар),0.2051,6.61,15.4,928.0
2026-03-31,S-0247,Точка-2 (резервуар),0.1378,7.1,8.8,852.0
2026-03-31,S-0248,Точка-3 (сброс),0.214,7.64,10.8,668.0
2026-04-01,S-0249,Точка-3 (сброс),0.2367,7.42,17.0,756.0
2026-04-01,S-0250,Точка-3 (сброс),0.0883,6.97,16.4,563.0
2026-04-01,S-0251,Точка-2 (резервуар),0.2309,8.32,20.7,526.0
2026-04-01,S-0252,Точка-1 (скважина),0.1479,7.1,25.2,543.0
2026-04-02,S-0253,Точка-3 (сброс),0.2539,6.83,17.6,626.0
2026-04-02,S-0254,Точка-3 (сброс),0.2737,7.38,19.9,656.0
2026-04-02,S-0255,Точка-3 (сброс),0.1849,6.96,21.1,522.0
2026-04-02,S-0256,Точка-2 (резервуар),0.0956,6.78,18.0,682.0
2026-04-03,S-0257,Точка-2 (резервуар),0.0615,7.43,14.9,520.0
2026-04-03,S-0258,Точка-2 (резервуар),0.1873,7.53,24.3,615.0
2026-04-03,S-0259,Точка-1 (скважина),0.1556,6.82,12.8,494.0
2026-04-03,S-0260,Точка-1 (скважина),0.1923,6.85,18.3,512.0
2026-04-06,S-0261,Точка-1 (скважина),0.1635,6.38,11.1,537.0
2026-04-06,S-0262,Точка-1 (скважина),0.1267,7.06,8.2,690.0
2026-04-06,S-0263,Точка-1 (скважина),0.0954,7.8,18.3,550.0
2026-04-06,S-0264,Точка-2 (резервуар),0.1551,7.3,15.5,751.0
2026-04-07,S-0265,Точка-2 (резервуар),0.0645,6.7,12.7,472.0
2026-04-07,S-0266,Точка-1 (скважина),0.0891,7.56,20.3,683.0
2026-04-07,S-0267,Точка-1 (скважина),0.158,7.26,16.1,617.0
2026-04-07,S-0268,Точка-1 (скважина),0.1116,7.13,13.0,683.0
2026-04-08,S-0269,Точка-2 (резервуар),0.0967,7.4,6.3,679.0
2026-04-08,S-0270,Точка-3 (сброс),0.2214,7.4,10.5,992.0
2026-04-08,S-0271,Точка-1 (скважина),0.2234,7.7,19.5,744.0
2026-04-08,S-0272,Точка-2 (резервуар),0.3046,7.36,19.7,536.0
2026-04-09,S-0273,Точка-3 (сброс),0.1969,5.95,12.7,838.0
2026-04-09,S-0274,Точка-1 (скважина),0.0338,7.34,15.4,640.0
2026-04-09,S-0275,Точка-1 (скважина),0.1374,7.44,15.1,198.0
2026-04-09,S-0276,Точка-2 (резервуар),0.1231,6.21,17.6,704.0
2026-04-10,S-0277,Точка-3 (сброс),0.2763,7.1,22.8,652.0
2026-04-10,S-0278,Точка-2 (резервуар),0.1347,7.42,13.1,686.0
2026-04-10,S-0279,Точка-1 (скважина),0.0765,7.1,19.2,862.0
2026-04-10,S-0280,Точка-1 (скважина),0.1319,7.76,12.1,615.0
2026-04-13,S-0281,Точка-2 (резервуар),0.1326,6.51,14.4,531.0
2026-04-13,S-0282,Точка-3 (сброс),0.2056,7.26,14.5,789.0
2026-04-13,S-0283,Точка-2 (резервуар),0.0839,7.66,12.6,898.0
2026-04-13,S-0284,Точка-1 (скважина),0.1377,6.43,19.7,518.0
2026-04-14,S-0285,Точка-1 (скважина),0.1956,7.53,12.7,529.0
2026-04-14,S-0286,Точка-2 (резервуар),0.1419,7.33,7.9,302.0
2026-04-14,S-0287,Точка-2 (резервуар),0.174,6.7,21.3,359.0
2026-04-14,S-0288,Точка-2 (резервуар),0.1577,7.2,15.6,714.0
2026-04-15,S-0289,Точка-3 (сброс),0.2792,7.49,11.3,822.0
2026-04-15,S-0290,Точка-1 (скважина),0.2264,7.54,14.2,712.0
2026-04-15,S-0291,Точка-2 (резервуар),0.1645,6.54,22.3,616.0
2026-04-15,S-0292,Точка-1 (скважина),0.2676,7.09,20.1,562.0
2026-04-16,S-0293,Точка-2 (резервуар),0.245,7.39,14.9,760.0
2026-04-16,S-0294,Точка-1 (скважина),0.1156,7.37,18.2,209.0
2026-04-16,S-0295,Точка-2 (резервуар),0.21,6.49,15.2,494.0
2026-04-16,S-0296,Точка-2 (резервуар),0.1716,6.92,17.4,423.0
2026-04-17,S-0297,Точка-2 (резервуар),0.0,6.4,18.7,466.0
2026-04-17,S-0298,Точка-1 (скважина),0.0684,7.3,17.3,555.0
2026-04-17,S-0299,Точка-1 (скважина),0.1598,7.38,15.9,1006.0
2026-04-17,S-0300,Точка-1 (скважина),0.0128,7.91,5.0,654.0
2026-04-20,S-0301,Точка-3 (сброс),0.2403,7.21,13.9,661.0
2026-04-20,S-0302,Точка-1 (скважина),0.0484,6.09,21.3,365.0
2026-04-20,S-0303,Точка-1 (скважина),0.0625,6.78,15.2,1045.0
2026-04-20,S-0304,Точка-1 (скважина),0.0416,7.37,16.3,476.0
2026-04-21,S-0305,Точка-3 (сброс),0.3189,6.53,14.1,623.0
2026-04-21,S-0306,Точка-1 (скважина),0.1193,7.39,17.2,480.0
2026-04-21,S-0307,Точка-2 (резервуар),0.1844,7.09,7.0,776.0
2026-04-21,S-0308,Точка-2 (резервуар),0.0879,6.35,18.7,557.0
2026-04-22,S-0309,Точка-1 (скважина),0.1634,7.42,18.6,882.0
2026-04-22,S-0310,Точка-1 (скважина),0.0308,8.16,10.4,654.0
2026-04-22,S-0311,Точка-1 (скважина),0.0447,7.66,14.3,446.0
2026-04-22,S-0312,Точка-2 (резервуар),0.2908,7.02,12.4,805.0
2026-04-23,S-0313,Точка-2 (резервуар),0.1572,7.57,13.4,984.0
2026-04-23,S-0314,Точка-1 (скважина),0.141,6.5,12.5,561.0
2026-04-23,S-0315,Точка-3 (сброс),0.2717,7.65,10.5,892.0
2026-04-23,S-0316,Точка-3 (сброс),0.3131,7.15,15.8,529.0
2026-04-24,S-0317,Точка-1 (скважина),0.1376,7.14,15.0,636.0
2026-04-24,S-0318,Точка-3 (сброс),0.1967,6.75,30.0,526.0
2026-04-24,S-0319,Точка-3 (сброс),0.14,6.85,17.7,617.0
2026-04-24,S-0320,Точка-1 (скважина),0.054,6.73,15.1,804.0
2026-04-27,S-0321,Точка-1 (скважина),0.1689,7.12,11.9,751.0
2026-04-27,S-0322,Точка-1 (скважина),0.0782,6.88,23.5,914.0
2026-04-27,S-0323,Точка-1 (скважина),0.0091,6.97,13.2,825.0
2026-04-27,S-0324,Точка-2 (резервуар),0.3587,6.14,15.1,707.0
2026-04-28,S-0325,Точка-2 (резервуар),0.114,7.84,15.7,818.0
2026-04-28,S-0326,Точка-1 (скважина),0.2003,7.03,11.1,693.0
2026-04-28,S-0327,Точка-1 (скважина),0.1671,7.97,10.9,717.0
2026-04-28,S-0328,Точка-1 (скважина),0.0533,7.45,12.5,377.0
2026-04-29,S-0329,Точка-1 (скважина),0.0875,7.23,8.5,579.0
2026-04-29,S-0330,Точка-1 (скважина),0.0265,7.25,17.2,738.0
2026-04-29,S-0331,Точка-1 (скважина),0.2223,7.12,16.3,649.0
2026-04-29,S-0332,Точка-2 (резервуар),0.1232,6.85,20.7,552.0
2026-04-30,S-0333,Точка-1 (скважина),0.1644,7.54,14.2,618.0
2026-04-30,S-0334,Точка-1 (скважина),0.0675,6.67,18.6,731.0
2026-04-30,S-0335,Точка-1 (скважина),0.1464,7.15,11.0,927.0
2026-04-30,S-0336,Точка-1 (скважина),0.1995,6.96,19.3,797.0
2026-05-01,S-0337,Точка-3 (сброс),0.2077,8.08,12.6,664.0
2026-05-01,S-0338,Точка-1 (скважина),0.1822,6.84,15.1,800.0
2026-05-01,S-0339,Точка-3 (сброс),0.1696,6.85,18.6,719.0
2026-05-01,S-0340,Точка-2 (резервуар),0.153,6.44,19.4,809.0
2026-05-04,S-0341,Точка-2 (резервуар),0.0655,7.77,15.8,513.0
2026-05-04,S-0342,Точка-1 (скважина),0.0554,6.66,9.6,623.0
2026-05-04,S-0343,Точка-2 (резервуар),0.2196,6.18,13.3,452.0
2026-05-04,S-0344,Точка-2 (резервуар),0.1896,7.26,15.2,873.0
